SID,SEASON,NUMBER,ISO_TIME,BASIN,SUBBASIN,NAME,LAT,LON,WMO_WIND,WMO_PRES,USA_WIND,USA_PRES,USA_SSHS,STORM_SPEED,STORM_DIR,NATURE,USA_STATUS,DIST2LAND
2022008S13148,2022,1,2022-01-08 00:00:00,SP,EA,TIFFANY,-12.6,147.7,25.0,1005.0,20.0,1007.0,-3,6,160,MX,DB,270
2022008S13148,2022,1,2022-01-08 03:00:00,SP,EA,TIFFANY,-12.9,147.8,,,20.0,1007.0,-3,5,160,MX,DB,303
2022008S13148,2022,1,2022-01-08 06:00:00,SP,EA,TIFFANY,-13.1,147.9,25.0,1004.0,20.0,1007.0,-3,4,160,MX,DB,324
2022008S13148,2022,1,2022-01-08 09:00:00,SP,EA,TIFFANY,-13.2,147.9,,,23.0,1006.0,-3,2,165,MX,DB,336
2022008S13148,2022,1,2022-01-08 12:00:00,SP,EA,TIFFANY,-13.3,148.0,30.0,1004.0,25.0,1004.0,-1,3,0,TS,TD,347
2022008S13148,2022,1,2022-01-08 15:00:00,SP,EA,TIFFANY,-13.5,148.0,,,28.0,1003.0,-1,4,195,TS,TD,336
2022008S13148,2022,1,2022-01-08 18:00:00,SP,EA,TIFFANY,-13.7,147.9,30.0,1002.0,30.0,1001.0,-1,5,230,TS,TD,315
2022008S13148,2022,1,2022-01-08 21:00:00,SP,EA,TIFFANY,-13.8,147.5,,,33.0,1000.0,-1,7,250,TS,TD,272
2022008S13148,2022,1,2022-01-09 00:00:00,SP,EA,TIFFANY,-14.0,147.2,30.0,1000.0,35.0,998.0,0,5,250,TS,TS,238
2022008S13148,2022,1,2022-01-09 03:00:00,SP,EA,TIFFANY,-14.0,147.0,,,40.0,997.0,0,4,255,TS,TS,214
2022008S13148,2022,1,2022-01-09 06:00:00,SP,EA,TIFFANY,-14.1,146.8,40.0,995.0,45.0,995.0,0,6,270,TS,TS,196
2022008S13148,2022,1,2022-01-09 09:00:00,SP,EA,TIFFANY,-14.0,146.4,,,50.0,994.0,0,9,275,TS,TS,163
2022008S13148,2022,1,2022-01-09 12:00:00,SP,EA,TIFFANY,-14.0,145.9,50.0,992.0,55.0,993.0,0,10,270,TS,TS,125
2022008S13148,2022,1,2022-01-09 15:00:00,SP,EA,TIFFANY,-14.0,145.4,,,58.0,991.0,0,10,265,TS,TS,95
2022008S13148,2022,1,2022-01-09 18:00:00,SP,EA,TIFFANY,-14.1,144.9,50.0,990.0,60.0,989.0,0,9,265,TS,TS,46
2022008S13148,2022,1,2022-01-09 21:00:00,SP,EA,TIFFANY,-14.1,144.5,55.0,991.0,60.0,989.0,0,7,260,TS,TS,22
2022008S13148,2022,1,2022-01-10 00:00:00,SP,EA,TIFFANY,-14.3,144.2,55.0,992.0,60.0,989.0,0,6,245,TS,TS,15
2022008S13148,2022,1,2022-01-10 03:00:00,SP,EA,TIFFANY,-14.4,144.0,45.0,993.0,53.0,993.0,0,5,235,TS,TS,10
2022008S13148,2022,1,2022-01-10 06:00:00,SP,EA,TIFFANY,-14.6,143.7,35.0,994.0,45.0,996.0,0,7,255,TS,TS,0
2022008S13148,2022,1,2022-01-10 09:00:00,SP,EA,TIFFANY,-14.6,143.3,,,38.0,999.0,0,9,265,TS,TS,0
2022008S13148,2022,1,2022-01-10 12:00:00,SP,EA,TIFFANY,-14.6,142.8,30.0,1003.0,30.0,1002.0,-1,10,270,TS,TD,0
2022008S13148,2022,1,2022-01-10 15:00:00,SP,EA,TIFFANY,-14.6,142.2,,,30.0,1003.0,-1,10,275,TS,TD,0
2022008S13148,2022,1,2022-01-10 18:00:00,SP,EA,TIFFANY,-14.6,141.7,30.0,1002.0,30.0,1004.0,-1,8,275,TS,TD,0
2022008S13148,2022,1,2022-01-10 21:00:00,SP,EA,TIFFANY,-14.5,141.4,,,35.0,1002.0,0,6,270,TS,TD,10
2022008S13148,2022,1,2022-01-11 00:00:00,SP,EA,TIFFANY,-14.6,141.1,35.0,1000.0,40.0,1000.0,0,9,250,TS,TS,43
2022008S13148,2022,1,2022-01-11 03:00:00,SP,EA,TIFFANY,-14.8,140.6,,,40.0,1000.0,0,13,250,TS,TS,102
2022008S13148,2022,1,2022-01-11 06:00:00,SP,EA,TIFFANY,-15.0,139.9,35.0,998.0,40.0,1000.0,0,15,260,TS,TS,180
2022008S13148,2022,1,2022-01-11 09:00:00,SP,EA,TIFFANY,-15.0,139.0,,,45.0,998.0,0,17,275,TS,TS,193
2022008S13148,2022,1,2022-01-11 12:00:00,SP,EA,TIFFANY,-14.9,138.1,50.0,995.0,50.0,995.0,0,16,275,TS,TS,136
2022008S13148,2022,1,2022-01-11 15:00:00,SP,EA,TIFFANY,-14.9,137.4,,,53.0,994.0,0,14,275,TS,TS,79
2022008S13148,2022,1,2022-01-11 18:00:00,SP,EA,TIFFANY,-14.8,136.7,50.0,992.0,55.0,993.0,0,12,275,TS,TS,55
2022008S13148,2022,1,2022-01-11 21:00:00,SP,EA,TIFFANY,-14.7,136.1,,,55.0,993.0,0,12,275,TS,TS,58
2022008S13148,2022,1,2022-01-12 00:00:00,SP,EA,TIFFANY,-14.7,135.5,50.0,988.0,55.0,992.0,0,15,275,TS,TS,0
2022008S13148,2022,1,2022-01-12 03:00:00,SI,WA,TIFFANY,-14.5,134.6,,,45.0,996.0,0,17,275,TS,TS,0
2022008S13148,2022,1,2022-01-12 06:00:00,SI,WA,TIFFANY,-14.5,133.7,35.0,992.0,35.0,1000.0,0,13,265,TS,TS,0
2022008S13148,2022,1,2022-01-12 09:00:00,SI,WA,TIFFANY,-14.6,133.2,,,30.0,1002.0,-1,10,250,TS,TS,0
2022008S13148,2022,1,2022-01-12 12:00:00,SI,WA,TIFFANY,-14.8,132.8,30.0,998.0,25.0,1004.0,-1,10,250,TS,TD,0
2022008S13148,2022,1,2022-01-12 15:00:00,SI,WA,TIFFANY,-14.9,132.2,,,25.0,1003.0,-1,11,255,TS,TD,0
2022008S13148,2022,1,2022-01-12 18:00:00,SI,WA,TIFFANY,-15.1,131.7,20.0,1000.0,25.0,1002.0,-1,11,255,TS,TD,0
2022008S13148,2022,1,2022-01-12 21:00:00,SI,WA,TIFFANY,-15.3,131.2,,,25.0,1002.0,-1,11,255,TS,TD,0
2022008S13148,2022,1,2022-01-13 00:00:00,SI,WA,TIFFANY,-15.4,130.6,15.0,1002.0,25.0,1002.0,-1,11,255,TS,TD,0
2022008S13148,2022,1,2022-01-13 03:00:00,SI,WA,TIFFANY,-15.5,130.0,,,23.0,1003.0,-1,12,260,TS,TD,0
2022008S13148,2022,1,2022-01-13 06:00:00,SI,WA,TIFFANY,-15.6,129.4,15.0,1000.0,20.0,1004.0,-3,13,260,MX,DB,0
2022008S13148,2022,1,2022-01-13 09:00:00,SI,WA,TIFFANY,-15.7,128.7,,,20.0,1005.0,-3,14,260,MX,DB,0
2022008S13148,2022,1,2022-01-13 12:00:00,SI,WA,TIFFANY,-15.9,128.0,15.0,1000.0,20.0,1005.0,-3,12,260,MX,DB,0
2022008S13148,2022,1,2022-01-13 15:00:00,SI,WA,TIFFANY,-15.9,127.4,,,20.0,1005.0,-3,10,265,MX,DB,0
2022008S13148,2022,1,2022-01-13 18:00:00,SI,WA,TIFFANY,-16.0,127.0,15.0,1000.0,20.0,1005.0,-3,8,265,MX,DB,0
2022008S13148,2022,1,2022-01-13 21:00:00,SI,WA,TIFFANY,-16.0,126.6,,,20.0,1005.0,-3,6,255,MX,DB,0
2022008S13148,2022,1,2022-01-14 00:00:00,SI,WA,TIFFANY,-16.1,126.3,15.0,1000.0,20.0,1005.0,-3,6,240,MX,DB,0
2022008S13148,2022,1,2022-01-14 03:00:00,SI,WA,TIFFANY,-16.3,126.0,,,23.0,1002.0,-3,7,225,MX,DB,0
2022008S13148,2022,1,2022-01-14 06:00:00,SI,WA,TIFFANY,-16.6,125.8,15.0,999.0,25.0,999.0,-1,5,220,TS,TD,0
2022008S13148,2022,1,2022-01-14 09:00:00,SI,WA,TIFFANY,-16.7,125.7,,,25.0,999.0,-1,3,220,TS,TD,0
2022008S13148,2022,1,2022-01-14 12:00:00,SI,WA,TIFFANY,-16.8,125.6,15.0,998.0,25.0,998.0,-1,4,225,TS,TD,0
2022008S13148,2022,1,2022-01-14 15:00:00,SI,WA,TIFFANY,-17.0,125.4,,,25.0,999.0,-1,6,225,TS,TD,0
2022008S13148,2022,1,2022-01-14 18:00:00,SI,WA,TIFFANY,-17.2,125.2,15.0,998.0,25.0,999.0,-1,6,220,TS,TD,0
2022008S13148,2022,1,2022-01-14 21:00:00,SI,WA,TIFFANY,-17.4,125.0,,,23.0,1000.0,-1,6,205,TS,TD,0
2022008S13148,2022,1,2022-01-15 00:00:00,SI,WA,TIFFANY,-17.8,124.9,15.0,997.0,20.0,1000.0,-3,9,195,MX,DB,0
2022008S13148,2022,1,2022-01-15 03:00:00,SI,WA,TIFFANY,-18.3,124.8,,,18.0,1001.0,-3,11,190,MX,DB,0
2022008S13148,2022,1,2022-01-15 06:00:00,SI,WA,TIFFANY,-18.8,124.7,20.0,997.0,15.0,1001.0,-3,9,175,MX,DB,0
2022008S13148,2022,1,2022-01-15 09:00:00,SI,WA,TIFFANY,-19.2,124.8,,,,,-3,9,165,TS,DB,0
2022008S13148,2022,1,2022-01-15 12:00:00,SI,WA,TIFFANY,-19.7,125.0,20.0,998.0,,,-5,12,160,TS, ,0
2022008S13148,2022,1,2022-01-15 15:00:00,SI,WA,TIFFANY,-20.4,125.2,,,,,-5,14,155,TS, ,0
2022008S13148,2022,1,2022-01-15 18:00:00,SI,WA,TIFFANY,-21.0,125.6,20.0,998.0,,,-5,12,150,TS, ,0
2022008S13148,2022,1,2022-01-15 21:00:00,SI,WA,TIFFANY,-21.4,125.9,,,,,-5,10,140,TS, ,0
2022008S13148,2022,1,2022-01-16 00:00:00,SI,WA,TIFFANY,-21.8,126.3,25.0,992.0,,,-5,15,145,TS, ,0
2022008S13148,2022,1,2022-01-16 03:00:00,SI,WA,TIFFANY,-22.6,126.8,,,,,-5,18,150,TS, ,0
2022008S13148,2022,1,2022-01-16 06:00:00,SI,WA,TIFFANY,-23.3,127.3,25.0,992.0,,,-5,14,150,TS, ,0
2022008S13148,2022,1,2022-01-16 09:00:00,SI,WA,TIFFANY,-23.8,127.6,,,,,-5,9,145,TS, ,0
2022008S13148,2022,1,2022-01-16 12:00:00,SI,WA,TIFFANY,-24.1,127.9,25.0,992.0,,,-5,8,140,TS, ,0
2022008S13148,2022,1,2022-01-16 15:00:00,SI,WA,TIFFANY,-24.4,128.2,,,,,-5,8,140,TS, ,0
2022008S13148,2022,1,2022-01-16 18:00:00,SI,WA,TIFFANY,-24.7,128.4,25.0,992.0,,,-5,8,140,TS, ,0
2022008S13148,2022,1,2022-01-16 21:00:00,SI,WA,TIFFANY,-25.0,128.7,,,,,-5,8,140,TS, ,0
2022008S13148,2022,1,2022-01-17 00:00:00,SI,WA,TIFFANY,-25.3,129.0,30.0,992.0,,,-5,9,135,TS, ,0
2022008S13148,2022,1,2022-01-17 03:00:00,SI,WA,TIFFANY,-25.6,129.4,,,,,-5,11,130,TS, ,0
2022008S13148,2022,1,2022-01-17 06:00:00,SI,WA,TIFFANY,-26.0,129.9,30.0,992.0,,,-5,11,130,TS, ,0
2022008S17173,2022,2,2022-01-07 12:00:00,SP,MM,CODY,-17.4,172.8,,,25.0,1004.0,-1,3,205,TS,TD,470
